month,y
01/01/2001,154
01/02/2001,96
01/03/2001,73
01/04/2001,49
01/05/2001,36
01/06/2001,59
01/07/2001,95
01/08/2001,169
01/09/2001,210
01/10/2001,278
01/11/2001,298
01/12/2001,245
01/01/2002,200
01/02/2002,118
01/03/2002,90
01/04/2002,79
01/05/2002,78
01/06/2002,91
01/07/2002,167
01/08/2002,169
01/09/2002,289
01/10/2002,347
01/11/2002,375
01/12/2002,203
01/01/2003,223
01/02/2003,104
01/03/2003,107
01/04/2003,85
01/05/2003,75
01/06/2003,99
01/07/2003,135
01/08/2003,211
01/09/2003,335
01/10/2003,460
01/11/2003,488
01/12/2003,326
01/01/2004,346
01/02/2004,261
01/03/2004,224
01/04/2004,141
01/05/2004,148
01/06/2004,145
01/07/2004,223
01/08/2004,272
01/09/2004,445
01/10/2004,560
01/11/2004,612
01/12/2004,467
01/01/2005,518
01/02/2005,404
01/03/2005,300
01/04/2005,210
01/05/2005,196
01/06/2005,186
01/07/2005,247
01/08/2005,343
01/09/2005,464
01/10/2005,680
01/11/2005,711
01/12/2005,610
01/01/2006,613
01/02/2006,392
01/03/2006,273
01/04/2006,322
01/05/2006,189
01/06/2006,257
01/07/2006,324
01/08/2006,404
01/09/2006,677
01/10/2006,858
01/11/2006,895
01/12/2006,664
